,id,category,name,price,sales_price,color,gender
469,25P_E513390D,Sandali,Sandali Donna in Pelle,129.5,,Beige,Donna
470,25P_E513390D,Sandali,Sandali Donna in Pelle,129.5,,Bianco,Donna
471,25P_E513721D,Sandali,Sandali Donna in Tessuto e Pelle,139.5,,,Donna
472,25P_E513722D,Sandali,Sandali Donna in Pelle e Materiale Tecnico,139.5,,,Donna
473,25P_E513723D,Sandali,Sandali Donna in Pelle e Materiale Tecnico,139.5,,,Donna
474,25P_E513405D,Sandali,Sandali Donna in Pelle,119.5,,Nero,Donna
475,25P_E513405D,Sandali,Sandali Donna in Pelle,119.5,,Marrone,Donna
476,25P_E513405D,Sandali,Sandali Donna in Pelle,119.5,,Bianco,Donna
477,25P_E513418D,Sandali,Sandali Donna in Pelle e Materiale Tecnico,125.0,,Marrone,Donna
478,25P_E513418D,Sandali,Sandali Donna in Pelle e Materiale Tecnico,125.0,,Rosa,Donna
479,25P_E513423D,Ciabatte,Ciabatte Donna in Materiale Tecnico e Pelle,99.5,,Avorio,Donna
480,25P_E513423D,Ciabatte,Ciabatte Donna in Materiale Tecnico e Pelle,99.5,,Beige,Donna
481,25P_E513423D,Ciabatte,Ciabatte Donna in Materiale Tecnico e Pelle,99.5,,Bianco,Donna
482,25P_E513424D,Ciabatte,Ciabatte Donna in Materiale Tecnico,99.5,,,Donna
483,25P_E513426D,Sandali,Sandali Donna in Pelle e Materiale Tecnico,125.0,,Avorio,Donna
484,25P_E513426D,Sandali,Sandali Donna in Pelle e Materiale Tecnico,125.0,,Bianco,Donna
485,25P_E513427D,Sandali,Sandali Donna in Pelle e Materiale Tecnico,125.0,,,Donna
486,25P_E513428D,Sandali,Sandali Donna in Pelle e Materiale Tecnico,125.0,,,Donna
487,25P_E513430D,Sandali,Sandali Donna in Pelle,119.5,,Nero,Donna
488,25P_E513430D,Sandali,Sandali Donna in Pelle,119.5,,Bianco,Donna
489,25P_E513431D,Sandali,Sandali Donna in Pelle,115.0,,,Donna
490,25P_E513436D,Sandali,Sandali Donna in Pelle e Materiale Tecnico,129.5,,Marrone,Donna
491,25P_E513436D,Sandali,Sandali Donna in Pelle e Materiale Tecnico,129.5,,Avorio,Donna
492,25P_E513441D,Sandali,Sandali Donna in Pelle e Materiale Tecnico,125.0,,,Donna
493,25P_E513452D,Sandali,Sandali Donna in Pelle,129.5,,,Donna
494,25P_E513453D,Sandali,Sandali Donna in Pelle,129.5,,,Donna
495,25P_E513512D,Sandali,Sandali Donna in Pelle e Materiale Tecnico,119.5,,Rosa,Donna
496,25P_E513512D,Sandali,Sandali Donna in Pelle e Materiale Tecnico,119.5,,Beige,Donna
497,25P_E513514D,Ciabatte,Ciabatte Donna in Pelle,109.5,,Nero,Donna
498,25P_E513514D,Ciabatte,Ciabatte Donna in Pelle,109.5,,Beige,Donna
499,25P_E513602D,Sandali,Sandali Donna in Pelle e Materiale Tecnico,159.5,,Oro,Donna
500,25P_E513602D,Sandali,Sandali Donna in Pelle e Materiale Tecnico,159.5,,Argento,Donna
501,25P_E513640D,Sandali,Sandali Donna in Pelle,149.5,,Nero,Donna
502,25P_E513640D,Sandali,Sandali Donna in Pelle,149.5,,Beige,Donna
503,25P_E513640D,Sandali,Sandali Donna in Pelle,149.5,,Bianco,Donna
504,25P_E513660D,Sandali,Sandali Donna in Pelle,119.5,,Nero,Donna
505,25P_E513660D,Sandali,Sandali Donna in Pelle,119.5,,Beige,Donna
506,25P_E513660D,Sandali,Sandali Donna in Pelle,119.5,,Bianco,Donna
507,25P_E513662D,Sandali,Sandali Donna in Materiale Tecnico,115.0,,Bianco,Donna
508,25P_E513662D,Sandali,Sandali Donna in Materiale Tecnico,115.0,,Rosa,Donna
509,25P_E513665D,Sandali,Sandali Donna in Tessuto e Pelle,129.5,,,Donna
510,25P_E513698D,Sandali,Sandali Donna in Pelle e Materiale Tecnico,129.5,,,Donna
511,25P_E513700D,Ciabatte,Ciabatte Donna in Pelle,119.5,,Nero,Donna
512,25P_E513700D,Ciabatte,Ciabatte Donna in Pelle,119.5,,Rosa,Donna
513,25P_E513702D,Sandali,Sandali Donna in Pelle,129.5,,Nero,Donna
514,25P_E513702D,Sandali,Sandali Donna in Pelle,129.5,,Beige,Donna
515,25P_E513702D,Sandali,Sandali Donna in Pelle,129.5,,Rosa,Donna
516,25P_E513720D,Sandali,Sandali Donna in Pelle e Materiale Tecnico,139.5,,,Donna
517,25P_E518210D,Sabot,Sabot Donna in Pelle,129.5,,,Donna
518,25P_E518212D,Mocassini,Mocassini Donna in Pelle,135.0,,,Donna
519,25P_I013470DE,Décolleté,Décolleté Donna in Pelle,145.0,,,Donna
520,25P_I013500DE,Décolleté,Décolleté Donna in Pelle,145.0,,,Donna
521,25P_I205510DE,Décolleté,Décolleté Donna in Vernice,145.0,,,Donna
522,25P_E302811U,Sneakers,Sneakers Uomo in Camoscio e Pelle,159.5,,Grigio,Uomo
523,25P_E302811U,Sneakers,Sneakers Uomo in Camoscio e Pelle,159.5,,Blue,Uomo
524,25P_E302811U,Sneakers,Sneakers Uomo in Camoscio e Pelle,159.5,,Blu,Uomo
525,25P_E400120UE,Stringate,Stringate Uomo in Vernice,149.5,,,Uomo
526,25P_E400121UE,Stringate,Stringate Uomo in Vernice,149.5,,,Uomo
527,25P_E400131UE,Stringate,Stringate Uomo in Pelle,149.5,,,Uomo
528,25P_E400140UE,Stringate,Stringate Uomo in Pelle,149.5,,,Uomo
529,25P_E400141UE,Stringate,Stringate Uomo in Pelle,149.5,,Nero,Uomo
530,25P_E400141UE,Stringate,Stringate Uomo in Pelle,149.5,,Blue,Uomo
531,25P_E400141UE,Stringate,Stringate Uomo in Pelle,149.5,,Blu,Uomo
532,25P_E400142UE,Doppia fibbia,Doppia Fibbia Uomo in Pelle,149.5,,,Uomo
533,25P_E400162U,Mocassini,Mocassini Uomo in Pelle,139.5,,Nero,Uomo
534,25P_E400162U,Mocassini,Mocassini Uomo in Pelle,139.5,,Blue,Uomo
535,25P_E400162U,Mocassini,Mocassini Uomo in Pelle,139.5,,Blu,Uomo
536,25P_E400162U,Mocassini,Mocassini Uomo in Pelle,139.5,,T. Di Moro,Uomo
537,25P_E400230U,Sneakers,Sneakers Uomo in Pelle e Camoscio,159.5,,Avio,Uomo
538,25P_E400230U,Sneakers,Sneakers Uomo in Pelle e Camoscio,159.5,,Marrone,Uomo
539,25P_E400240U,Sneakers,Sneakers Uomo in Pelle,129.5,,Blu,Uomo
540,25P_E400240U,Sneakers,Sneakers Uomo in Pelle,129.5,,Bianco,Uomo
541,25P_E400241U,Sneakers,Sneakers Uomo in Pelle e Camoscio,139.5,,Blu,Uomo
542,25P_E400241U,Sneakers,Sneakers Uomo in Pelle e Camoscio,139.5,,Bianco,Uomo
543,25P_E500121UE,Stringate,Stringate Uomo in Vernice,149.5,,,Uomo
544,25P_E500550UE,Mocassini,Mocassini Uomo in Vernice,149.5,,,Uomo
545,25P_E500560UE,Stringate,Stringate Uomo in Pelle,149.5,,,Uomo
546,25P_E500570UE,Mocassini,Mocassini Uomo in Pelle,149.5,,,Uomo
547,25P_E500571UE,Mocassini,Mocassini Uomo in Pelle,149.5,,Blu,Uomo
548,25P_E500571UE,Mocassini,Mocassini Uomo in Pelle,149.5,,Marrone,Uomo
549,25P_E500572UE,Stringate,Stringate Uomo in Pelle,149.5,,,Uomo
550,25P_E500573UE,Stringate,Stringate Uomo in Pelle,149.5,,Blu,Uomo
551,25P_E500573UE,Stringate,Stringate Uomo in Pelle,149.5,,Marrone,Uomo
552,25P_E500590U,Mocassini,Mocassini Uomo in Camoscio,139.5,,Blu,Uomo
553,25P_E500590U,Mocassini,Mocassini Uomo in Camoscio,139.5,,T. Di Moro,Uomo
554,25P_E500590U,Mocassini,Mocassini Uomo in Camoscio,139.5,,Beige,Uomo
555,25P_E500592U,Mocassini,Mocassini Uomo in Camoscio,149.5,,Avio,Uomo
556,25P_E500592U,Mocassini,Mocassini Uomo in Camoscio,149.5,,Blue,Uomo
557,25P_E500592U,Mocassini,Mocassini Uomo in Camoscio,149.5,,Blu,Uomo
558,25P_E500592U,Mocassini,Mocassini Uomo in Camoscio,149.5,,T. Di Moro,Uomo
559,25P_E500592U,Mocassini,Mocassini Uomo in Camoscio,149.5,,Marrone,Uomo
560,25P_E500592U,Mocassini,Mocassini Uomo in Camoscio,149.5,,Beige,Uomo
561,25P_E500600U,Mocassini,Mocassini Uomo in Pelle,149.5,,Nero,Uomo
562,25P_E500600U,Mocassini,Mocassini Uomo in Pelle,149.5,,Blue,Uomo
563,25P_E500600U,Mocassini,Mocassini Uomo in Pelle,149.5,,Blu,Uomo
564,25P_E500601U,Stringate,Stringate Uomo in Pelle,149.5,,Nero,Uomo
565,25P_E500601U,Stringate,Stringate Uomo in Pelle,149.5,,Blue,Uomo
566,25P_E500601U,Stringate,Stringate Uomo in Pelle,149.5,,Blu,Uomo
567,25P_E500610U,Mocassini,Mocassini Uomo in Camoscio,139.5,,Blu,Uomo
568,25P_E500610U,Mocassini,Mocassini Uomo in Camoscio,139.5,,T. Di Moro,Uomo
569,25P_E500610U,Mocassini,Mocassini Uomo in Camoscio,139.5,,Marrone,Uomo
570,25P_E500610U,Mocassini,Mocassini Uomo in Camoscio,139.5,,Blue,Uomo
571,25P_E500611U,Stringate,Stringate Uomo in Camoscio,139.5,,Blu,Uomo
572,25P_E500611U,Stringate,Stringate Uomo in Camoscio,139.5,,T. Di Moro,Uomo
573,25P_E500611U,Stringate,Stringate Uomo in Camoscio,139.5,,Marrone,Uomo
574,25P_E500612U,Stringate,Stringate Uomo in Pelle,149.5,,Blu,Uomo
575,25P_E500612U,Stringate,Stringate Uomo in Pelle,149.5,,T. Di Moro,Uomo
576,25P_E500613U,Stringate,Stringate Uomo in Camoscio,139.5,,Blu,Uomo
577,25P_E500613U,Stringate,Stringate Uomo in Camoscio,139.5,,Marrone,Uomo
578,25P_E500614U,Stringate,Stringate Uomo in Camoscio,139.5,,Blu,Uomo
579,25P_E500614U,Stringate,Stringate Uomo in Camoscio,139.5,,T. Di Moro,Uomo
580,25P_E500614U,Stringate,Stringate Uomo in Camoscio,139.5,,Marrone,Uomo
581,25P_E500620U,Mocassini,Mocassini Uomo in Camoscio,149.5,,Blu,Uomo
582,25P_E500620U,Mocassini,Mocassini Uomo in Camoscio,149.5,,Marrone,Uomo
583,25P_E500620U,Mocassini,Mocassini Uomo in Camoscio,149.5,,Blue,Uomo
584,25P_E500621U,Barca,Barca Uomo in Camoscio,165.0,,Blu,Uomo
585,25P_E500621U,Barca,Barca Uomo in Camoscio,165.0,,Marrone,Uomo
586,25P_E500622U,Barca,Barca Uomo in Camoscio,169.5,,,Uomo
587,25P_E500630U,Sneakers,Sneakers Uomo in Pelle,159.5,,Nero,Uomo
588,25P_E500630U,Sneakers,Sneakers Uomo in Pelle,159.5,,Blue,Uomo
589,25P_E500630U,Sneakers,Sneakers Uomo in Pelle,159.5,,Blu,Uomo
590,25P_E500631U,Sneakers,Sneakers Uomo in Camoscio e Tela,159.5,,Grigio,Uomo
591,25P_E500631U,Sneakers,Sneakers Uomo in Camoscio e Tela,159.5,,Blue,Uomo
592,25P_E500631U,Sneakers,Sneakers Uomo in Camoscio e Tela,159.5,,Blu,Uomo
593,25P_E500640U,Sneakers,Sneakers Uomo in Pelle,159.5,,Blu,Uomo
594,25P_E500640U,Sneakers,Sneakers Uomo in Pelle,159.5,,Marrone,Uomo
595,25P_E500640U,Sneakers,Sneakers Uomo in Pelle,159.5,,Blue,Uomo
596,25P_E500641U,Sneakers,Sneakers Uomo in Pelle,159.5,,,Uomo
597,25P_E500642U,Sneakers,"Sneakers Uomo in Pelle, Camoscio e Tela",159.5,,Grigio,Uomo
598,25P_E500642U,Sneakers,"Sneakers Uomo in Pelle, Camoscio e Tela",159.5,,Blue,Uomo
599,25P_E500642U,Sneakers,"Sneakers Uomo in Pelle, Camoscio e Tela",159.5,,Blu,Uomo
600,25P_E500642U,Sneakers,"Sneakers Uomo in Pelle, Camoscio e Tela",159.5,,Marrone,Uomo
601,25P_E500650U,Sneakers,Sneakers Uomo in Pelle e Camoscio,145.0,,Blu,Uomo
602,25P_E500650U,Sneakers,Sneakers Uomo in Pelle e Camoscio,145.0,,Bianco,Uomo
603,25P_E500651U,Sneakers,Sneakers Uomo in Pelle e Camoscio,139.5,,Blu,Uomo
604,25P_E500651U,Sneakers,Sneakers Uomo in Pelle e Camoscio,139.5,,Beige,Uomo
605,25P_E500660U,Sneakers,Sneakers Uomo in Pelle,159.5,,,Uomo
606,25P_E500661U,Sneakers,Sneakers Uomo in Pelle,159.5,,,Uomo
607,25P_E500662U,Sneakers,Sneakers Uomo in Pelle e Camoscio,149.5,,Blu,Uomo
608,25P_E500662U,Sneakers,Sneakers Uomo in Pelle e Camoscio,149.5,,Beige,Uomo
609,25P_E500663U,Sneakers,Sneakers Uomo in Pelle,159.5,,,Uomo
610,25P_E500670U,Sneakers,"Sneakers Uomo in Camoscio, Pelle e Tela",149.5,,,Uomo
611,25P_E500671U,Sneakers,"Sneakers Uomo in Camoscio, Pelle e Tela",149.5,,,Uomo
612,25P_E500672U,Sneakers,"Sneakers Uomo in Pelle, Camoscio e Tela",149.5,,,Uomo
613,25P_E500673U,Sneakers,Sneakers Uomo in Pelle e Camoscio,159.5,,Blu,Uomo
614,25P_E500673U,Sneakers,Sneakers Uomo in Pelle e Camoscio,159.5,,T. Di Moro,Uomo
615,25P_E500673U,Sneakers,Sneakers Uomo in Pelle e Camoscio,159.5,,Marrone,Uomo
616,25P_E500685U,Sneakers,Sneakers Uomo in Camoscio,149.5,,Avio,Uomo
617,25P_E500685U,Sneakers,Sneakers Uomo in Camoscio,149.5,,Blue,Uomo
618,25P_E500685U,Sneakers,Sneakers Uomo in Camoscio,149.5,,Blu,Uomo
619,25P_E500685U,Sneakers,Sneakers Uomo in Camoscio,149.5,,Marrone,Uomo
620,25P_E500685U,Sneakers,Sneakers Uomo in Camoscio,149.5,,Beige,Uomo
621,25P_E500686U,Sneakers,Sneakers Uomo in Pelle,149.5,,,Uomo
622,25P_E500690U,Sneakers,Sneakers Uomo in Pelle,149.5,,,Uomo
623,25P_E500691U,Sneakers,Sneakers Uomo in Pelle,149.5,,Blu,Uomo
624,25P_E500691U,Sneakers,Sneakers Uomo in Pelle,149.5,,Blue,Uomo
625,25P_E500692U,Sneakers,Sneakers Uomo in Pelle e Camoscio,149.5,,Blue,Uomo
626,25P_E500692U,Sneakers,Sneakers Uomo in Pelle e Camoscio,149.5,,Beige,Uomo
627,25P_E500693U,Sneakers,Sneakers Uomo in Pelle,149.5,,,Uomo
628,25P_E500694U,Sneakers,Sneakers Uomo in Camoscio e Pelle,149.5,,Avio,Uomo
629,25P_E500694U,Sneakers,Sneakers Uomo in Camoscio e Pelle,149.5,,Marrone,Uomo
630,25P_E500694U,Sneakers,Sneakers Uomo in Camoscio e Pelle,149.5,,Verde,Uomo
631,25P_E500695U,Sneakers,Sneakers Uomo in Pelle e Camoscio,149.5,,,Uomo
632,25P_E500700U,Sneakers,Sneakers Uomo in Pelle,159.5,,Blu,Uomo
633,25P_E500700U,Sneakers,Sneakers Uomo in Pelle,159.5,,Marrone,Uomo
634,25P_E500700U,Sneakers,Sneakers Uomo in Pelle,159.5,,T. Di Moro,Uomo
635,25P_E500700U,Sneakers,Sneakers Uomo in Pelle,159.5,,Blue,Uomo
636,25P_E500701U,Sneakers,Sneakers Uomo in Pelle,159.5,,,Uomo
637,25P_E500720U,Sneakers,Sneakers Uomo in Pelle,149.5,,,Uomo
638,25P_E500721U,Sneakers,Sneakers Uomo in Pelle,149.5,,,Uomo
639,25P_E500722U,Sneakers,Sneakers Uomo in Pelle,149.5,,,Uomo
640,25P_E500723U,Sneakers,Sneakers Uomo in Camoscio e Pelle,149.5,,Blu,Uomo
641,25P_E500723U,Sneakers,Sneakers Uomo in Camoscio e Pelle,149.5,,Marrone,Uomo
642,24A_I411450D,Stringate,Stringate Donna in Pelle,,90.5,,Donna
643,24A_I411418D,Stringate,Stringate Donna in Pelle,,94.5,,Donna
644,24A_I411451D,Stivaletti chelsea,Stivaletti Chelsea Donna in Pelle,,94.5,,Donna
645,24A_I205020D,Francesine,Francesine Donna in Pelle,,97.5,,Donna
646,24A_I308002D,Stringate,Stringate Donna in Vernice,,97.5,Nero,Donna
647,24A_I308002D,Stringate,Stringate Donna in Vernice,,97.5,Beige,Donna
648,24A_I411260D,Mocassini,Mocassini Donna in Pelle,,97.5,Nero,Donna
649,24A_I411260D,Mocassini,Mocassini Donna in Pelle,,97.5,Marrone,Donna
650,24A_I411261D,Stivaletti chelsea,Stivaletti Chelsea Donna in Pelle,,97.5,,Donna
651,24A_I411262D,Stivaletti,Stivaletti Donna in Pelle,,97.5,Nero,Donna
652,24A_I411262D,Stivaletti,Stivaletti Donna in Pelle,,97.5,Marrone,Donna
653,24A_I411290D,Mocassini,Mocassini Donna in Pelle,,97.5,Nero,Donna
654,24A_I411290D,Mocassini,Mocassini Donna in Pelle,,97.5,Marrone,Donna
655,24A_I411380D,Mocassini,Mocassini Donna in Pelle,,97.5,Nero,Donna
656,24A_I411380D,Mocassini,Mocassini Donna in Pelle,,97.5,Marrone,Donna
657,24A_I411394D,Stringate,Stringate Donna in Pelle,,97.5,,Donna
658,24A_I411395D,Stringate,Stringate Donna in Camoscio,,97.5,Marrone,Donna
659,24A_I411395D,Stringate,Stringate Donna in Camoscio,,97.5,Beige,Donna
660,24A_I411400D,Mocassini,Mocassini Donna in Pelle,,97.5,Nero,Donna
661,24A_I411400D,Mocassini,Mocassini Donna in Pelle,,97.5,Marrone,Donna
662,24A_I411400D,Mocassini,Mocassini Donna in Pelle,,97.5,Avorio,Donna
663,24A_I411411D,Stringate,Stringate Donna in Pelle,,97.5,Nero,Donna
664,24A_I411411D,Stringate,Stringate Donna in Pelle,,97.5,Marrone,Donna
665,24A_I411413D,Stringate,Stringate Donna in Vernice,,97.5,,Donna
666,24A_I411415D,Mary jane,Mary Jane Donna in Pelle,,97.5,,Donna
667,24A_I411434D,Mocassini,Mocassini Donna in Camoscio,,97.5,Marrone,Donna
668,24A_I411434D,Mocassini,Mocassini Donna in Camoscio,,97.5,Beige,Donna
669,24A_I411510D,Sneakers,Sneakers Donna in Pelle e Materiale Tecnico,,97.5,Nero,Donna
670,24A_I411510D,Sneakers,Sneakers Donna in Pelle e Materiale Tecnico,,97.5,Avorio,Donna
671,24A_I411511D,Sneakers,Sneakers Donna in Pelle e Materiale Tecnico,,97.5,,Donna
672,24A_I411580D,Sneakers,Sneakers Donna in Pelle,,97.5,,Donna
673,24A_I411581D,Sneakers,Sneakers Donna in Pelle e Materiale Tecnico,,97.5,,Donna
674,24A_I411592D,Sneakers,"Sneakers Donna in Pelle, Camoscio e Materiale Tecnico",,97.5,Nero,Donna
675,24A_I411592D,Sneakers,"Sneakers Donna in Pelle, Camoscio e Materiale Tecnico",,97.5,Avorio,Donna
676,24A_I411620D,Sneakers,Sneakers Donna in Camoscio e Materiale Tecnico,,97.5,Grigio,Donna
677,24A_I411620D,Sneakers,Sneakers Donna in Camoscio e Materiale Tecnico,,97.5,Marrone,Donna
678,24A_I411620D,Sneakers,Sneakers Donna in Camoscio e Materiale Tecnico,,97.5,Beige,Donna
679,24A_I411630D,Sneakers,"Sneakers Donna in Camoscio, Pelle e Materiale Tecnico",,97.5,,Donna
680,24A_I411631D,Sneakers,"Sneakers Donna in Camoscio, Pelle e Materiale Tecnico",,97.5,,Donna
681,24A_I411452D,Stivaletti chelsea,Stivaletti Chelsea Donna in Pelle,,97.5,Nero,Donna
682,24A_I411452D,Stivaletti chelsea,Stivaletti Chelsea Donna in Pelle,,97.5,Marrone,Donna
683,24A_E407081DE,Décolleté,Décolleté Donna in Pelle,,101.5,,Donna
684,24A_E413500DE,Décolleté,Décolleté Donna in Pelle,,101.5,,Donna
685,24A_I308001D,Mocassini,Mocassini Donna in Vernice,,101.5,Nero,Donna
686,24A_I308001D,Mocassini,Mocassini Donna in Vernice,,101.5,Beige,Donna
687,24A_I407081DE,Décolleté,Décolleté Donna in Pelle,,101.5,,Donna
688,24A_I410840DE,Décolleté,Décolleté Donna in Pelle,,101.5,Nero,Donna
689,24A_I410840DE,Décolleté,Décolleté Donna in Pelle,,101.5,Beige,Donna
690,24A_I410840DE,Décolleté,Décolleté Donna in Pelle,,101.5,Marrone,Donna
691,24A_I410870DE,Décolleté,Décolleté Donna in Vernice,,101.5,Nero,Donna
692,24A_I410870DE,Décolleté,Décolleté Donna in Vernice,,101.5,Grigio,Donna
693,24A_I411200D,Tronchetti,Tronchetti Donna in Pelle,,101.5,Nero,Donna
694,24A_I411200D,Tronchetti,Tronchetti Donna in Pelle,,101.5,Marrone,Donna
695,24A_I411390D,Mocassini,Mocassini Donna in Camoscio,,101.5,Blue,Donna
696,24A_I411390D,Mocassini,Mocassini Donna in Camoscio,,101.5,Marrone,Donna
697,24A_I411390D,Mocassini,Mocassini Donna in Camoscio,,101.5,Beige,Donna
698,24A_I411390D,Mocassini,Mocassini Donna in Camoscio,,101.5,Verde,Donna
699,24A_I411550D,Mocassini,Mocassini Donna in Pelle,,101.5,,Donna
700,24A_I411551D,Mocassini,Mocassini Donna in Pelle,,101.5,Blue,Donna
701,24A_I411551D,Mocassini,Mocassini Donna in Pelle,,101.5,Marrone,Donna
702,24A_I411610D,Sneakers,Sneakers Donna in Pelle e Materiale Tecnico,,101.5,,Donna
703,24A_I411611D,Sneakers,"Sneakers Donna in Pelle, Camoscio e Materiale Tecnico",,101.5,,Donna
